index,value,weight,type
1775,4999.52,1,low
1779,5038.7,1,high
1779,5038.7,1,high
1785,4955.02,1,low
1796,4946.0,1,low
1796,4946.0,1,low
1796,4946.0,1,low
1806,5111.06,1,high
1806,5111.06,1,high
1806,5111.06,1,high
1826,5057.29,1,low
1826,5057.29,1,low
1826,5057.29,1,low
1828,5080.6900000000005,1,high
1838,5096.35,1,high
1851,5140.33,1,high
1860,5149.67,1,high
1860,5149.67,1,high
1868,5056.82,1,low
1868,5056.82,1,low
1868,5056.82,1,low
1868,5056.82,1,low
1887,5189.26,1,high
1887,5189.26,1,high
1887,5189.26,1,high
1887,5189.26,1,high
1895,5091.14,1,low
1895,5091.14,1,low
1895,5091.14,1,low
1908,5179.87,1,high
1908,5179.87,1,high
1914,5179.14,1,high
1929,5104.35,1,low
1929,5104.35,1,low
1929,5104.35,1,low
1935,5175.6,1,high
1935,5175.6,1,high
1942,5131.59,1,low
1954,5171.55,1,low
1961,5261.1,1,high
1961,5261.1,1,high
1961,5261.1,1,high
1967,5229.87,1,low
1971,5246.09,1,high
1974,5216.09,1,low
1974,5216.09,1,low
1980,5216.32,1,low
1983,5235.16,1,high
1988,5203.42,1,low
1988,5203.42,1,low
1988,5203.42,1,low
1990,5235.89,1,high
2004,5264.85,1,high
2004,5264.85,1,high
2004,5264.85,1,high
2004,5264.85,1,high
2015,5184.05,1,low
2015,5184.05,1,low
2024,5228.75,1,high
2028,5198.04,1,low
2033,5256.59,1,high
2033,5256.59,1,high
2033,5256.59,1,high
2036,5146.06,1,low
2036,5146.06,1,low
2036,5146.06,1,low
2042,5222.18,1,high
2054,5224.81,1,high
2054,5224.81,1,high
2055,5160.78,1,low
2060,5211.2,1,high
2066,5138.7,1,low
2066,5138.7,1,low
2075,5211.78,1,high
2075,5211.78,1,high
2075,5211.78,1,high
2084,5107.9400000000005,1,low
2086,5168.43,1,high
2099,5079.84,1,high
2105,5007.25,1,low
2112,5056.66,1,high
2124,4953.56,1,low
2124,4953.56,1,low
2124,4953.56,1,low
2124,4953.56,1,low
2142,5089.4800000000005,1,high
