index,value,weight,type
2874,6040.41,1,high
2878,6014.21,1,low
2886,6042.4800000000005,1,high
2886,6042.4800000000005,1,high
2895,6007.06,1,low
2895,6007.06,1,low
2895,6007.06,1,low
2903,6051.09,1,high
2908,6042.39,1,low
2921,6080.71,1,high
2921,6080.71,1,high
2921,6080.71,1,high
2925,6061.29,1,low
2934,6079.400000000001,1,high
2934,6079.400000000001,1,high
2940,6046.83,1,low
2940,6046.83,1,low
2948,6101.28,1,high
2948,6101.28,1,high
2948,6101.28,1,high
2948,6101.28,1,high
2957,6026.91,1,low
2962,6056.42,1,high
2970,6019.96,1,low
2970,6019.96,1,low
2970,6019.96,1,low
2970,6019.96,1,low
2979,6071.68,1,high
2979,6071.68,1,high
2984,6051.17,1,low
2993,6073.38,1,high
2993,6073.38,1,high
2993,6073.38,1,high
3001,6042.34,1,low
3001,6042.34,1,low
3001,6042.34,1,low
3006,6070.14,1,high
3011,6049.09,1,low
3021,6076.28,1,high
3021,6076.28,1,high
3021,6076.28,1,high
3028,6003.0,1,low
3028,6003.0,1,low
3028,6003.0,1,low
3028,6003.0,1,low
3042,6063.0,1,high
3042,6063.0,1,high
3046,6043.22,1,low
3049,6059.31,1,high
3053,6043.39,1,low
3061,6093.2,1,high
3061,6093.2,1,high
3070,6068.43,1,low
3070,6068.43,1,low
3084,6127.47,1,high
3084,6127.47,1,high
3084,6127.47,1,high
3094,6107.62,1,low
3094,6107.62,1,low
3099,6124.16,1,high
3109,6125.39,1,high
3109,6125.39,1,high
3109,6125.39,1,high
3111,6108.9400000000005,1,low
3111,6108.9400000000005,1,low
3118,6123.56,1,high
3128,6099.51,1,low
3128,6099.51,1,low
3128,6099.51,1,low
3135,6129.63,1,high
3138,6111.150000000001,1,low
3146,6135.07,1,high
3150,6122.59,1,low
3157,6147.43,1,high
3157,6147.43,1,high
3157,6147.43,1,high
3157,6147.43,1,high
3165,6084.59,1,low
3165,6084.59,1,low
3165,6084.59,1,low
3175,6105.3,1,high
3188,6121.87,1,high
3188,6121.87,1,high
3188,6121.87,1,high
3195,6071.91,1,low
3210,6008.56,1,low
3217,6043.650000000001,1,high
3217,6043.650000000001,1,high
3219,5977.83,1,low
3219,5977.83,1,low
3219,5977.83,1,low
3230,6031.45,1,high
3230,6031.45,1,high
3252,5908.49,1,low
3252,5908.49,1,low
3252,5908.49,1,low
3252,5908.49,1,low
3258,5974.63,1,high
3264,5943.81,1,low
3277,6009.82,1,high
3277,6009.82,1,high
3277,6009.82,1,high
3289,5932.6900000000005,1,low
3289,5932.6900000000005,1,low
3298,5993.6900000000005,1,high
3298,5993.6900000000005,1,high
3300,5918.04,1,low
3300,5918.04,1,low
3309,5927.81,1,low
3313,5964.89,1,high
3325,5842.78,1,low
3325,5842.78,1,low
3331,5903.49,1,high
3331,5903.49,1,high
3340,5837.66,1,low
3340,5837.66,1,low
3340,5837.66,1,low
3352,5986.09,1,high
3352,5986.09,1,high
3352,5986.09,1,high
3352,5986.09,1,high
3360,5923.85,1,low
3372,5917.6,1,high
3382,5732.59,1,low
3382,5732.59,1,low
3382,5732.59,1,low
3382,5732.59,1,low
3402,5865.08,1,high
3402,5865.08,1,high
3402,5865.08,1,high
3404,5759.35,1,low
3415,5742.35,1,low
3415,5742.35,1,low
3415,5742.35,1,low
3428,5860.59,1,high
3428,5860.59,1,high
3428,5860.59,1,high
3433,5746.53,1,low
3439,5812.08,1,high
3453,5711.64,1,low
3453,5711.64,1,low
3454,5759.4800000000005,1,high
3461,5770.4800000000005,1,high
3461,5770.4800000000005,1,high
3469,5666.29,1,low
3469,5666.29,1,low
3479,5782.51,1,high
3485,5783.01,1,high
3485,5783.01,1,high
3485,5783.01,1,high
3492,5638.84,1,low
3509,5564.02,1,low
3511,5632.68,1,high
3518,5549.08,1,low
3522,5607.51,1,high
3530,5528.41,1,low
3530,5528.41,1,low
3530,5528.41,1,low
3530,5528.41,1,low
3535,5636.3,1,high
3539,5569.59,1,low
3541,5642.1900000000005,1,high
3541,5642.1900000000005,1,high
3541,5642.1900000000005,1,high
3547,5546.09,1,low
3547,5546.09,1,low
3559,5586.68,1,low
3562,5626.91,1,high
3562,5626.91,1,high
3562,5626.91,1,high
3585,5504.650000000001,1,low
3585,5504.650000000001,1,low
3585,5504.650000000001,1,low
3585,5504.650000000001,1,low
3593,5509.26,1,low
3607,5607.72,1,low
3609,5634.06,1,high
3609,5634.06,1,high
3614,5609.68,1,low
3623,5669.3,1,high
3623,5669.3,1,high
3630,5636.01,1,low
3643,5703.52,1,high
3643,5703.52,1,high
3643,5703.52,1,high
3643,5703.52,1,high
3658,5597.76,1,low
3658,5597.76,1,low
3658,5597.76,1,low
3658,5597.76,1,low
3661,5623.25,1,high
3670,5627.7300000000005,1,high
